year,state_name,required_spending_statewide,actual_spending_statewide,statewide_enrollment
2014,Vermont,9757.19,15095.58,84453.0
2014,Virginia,11563.08,10972.22,1273211.0
2014,Washington,10202.01,10139.78,1057773.0
2014,West Virginia,9105.8,11109.76,280265.0
2014,Wisconsin,10831.32,11164.26,862528.0
2014,Wyoming,7956.08,15797.23,92732.0
2013,Alabama,13988.97,8764.43,739695.0
2013,Alaska,,,
2013,Arizona,11073.75,7110.88,940291.0
2013,Arkansas,13487.19,9204.41,475387.0
2013,California,14675.88,8719.23,5998127.0
2013,Colorado,10334.31,8573.78,851063.0
2013,Connecticut,10144.92,16472.89,517812.0
2013,Delaware,11534.1,13601.77,111667.0
2013,District of Columbia,22498.28,19075.99,44179.0
2013,Florida,11937.48,8432.55,2680074.0
2013,Georgia,14165.6,9050.4,1682620.0
2013,Hawaii,,,
2013,Idaho,9172.49,6769.46,270789.0
2013,Illinois,12369.41,11908.11,2033688.0
2013,Indiana,10536.63,9451.45,1002398.0
2013,Iowa,9229.09,9726.12,499368.0
2013,Kansas,10004.14,9808.83,483289.0
2013,Kentucky,10053.8,9315.84,685009.0
2013,Louisiana,13933.33,10432.43,660341.0
2013,Maine,9285.54,12248.22,133071.0
2013,Maryland,12201.41,13829.28,859252.0
2013,Massachusetts,10495.27,14367.79,890000.0
2013,Michigan,11757.35,9925.21,1381167.0
2013,Minnesota,9456.26,10505.59,795921.0
2013,Mississippi,17777.33,8126.06,491836.0
2013,Missouri,10812.24,9234.87,893988.0
2013,Montana,10846.54,10476.61,141974.0
2013,Nebraska,9417.95,11107.42,298893.0
2013,Nevada,11791.53,8339.44,431776.0
2013,New Hampshire,8025.88,13766.94,186372.0
2013,New Jersey,10850.65,17636.12,1309576.0
2013,New Mexico,13271.82,9012.0,327209.0
2013,New York,13987.72,19817.13,2629805.0
2013,North Carolina,12379.65,8390.07,1468228.0
2013,North Dakota,8701.03,11502.79,97847.0
2013,Ohio,11275.55,10162.37,1613718.0
2013,Oklahoma,10546.95,7658.03,671179.0
2013,Oregon,10038.35,8955.26,564006.0
2013,Pennsylvania,10159.3,12414.9,1621325.0
2013,Rhode Island,11307.65,14309.0,136401.0
2013,South Carolina,13258.34,9495.81,700247.0
2013,South Dakota,9372.42,8408.72,128201.0
2013,Tennessee,11709.31,8481.37,990863.0
2013,Texas,13883.58,8216.72,4893339.0
2013,Utah,7856.49,6539.4,528364.0
2013,Vermont,9328.53,14576.33,86568.0
2013,Virginia,11072.04,10958.52,1264880.0
2013,Washington,10114.25,9568.63,1050901.0
2013,West Virginia,9016.47,10994.43,282310.0
2013,Wisconsin,10534.45,11050.55,861120.0
2013,Wyoming,7674.59,15699.54,91533.0
2012,Alabama,13563.05,8564.85,742388.0
2012,Alaska,,,
2012,Arizona,10930.99,7459.21,941313.0
2012,Arkansas,13217.82,9217.29,473343.0
2012,California,14386.19,8661.83,5999137.0
2012,Colorado,10275.52,8478.22,843120.0
2012,Connecticut,9833.68,16111.62,522451.0
2012,Delaware,11267.0,13686.57,111431.0
2012,District of Columbia,21538.04,17467.99,44618.0
2012,Florida,11708.09,8371.98,2658559.0
2012,Georgia,13949.53,9197.56,1669156.0
2012,Hawaii,,,
2012,Idaho,8678.17,6635.28,266277.0
2012,Illinois,11768.23,11588.85,2059949.0
2012,Indiana,10295.66,9581.8,1006248.0
2012,Iowa,8871.18,9456.87,495870.0
2012,Kansas,9780.73,9728.49,480485.0
2012,Kentucky,9811.71,9391.2,681827.0
2012,Louisiana,13554.74,11320.34,654306.0
2012,Maine,9172.52,11996.7,138673.0
2012,Maryland,11940.78,13608.71,853778.0
2012,Massachusetts,9889.91,13965.28,891906.0
2012,Michigan,12329.34,9872.98,1421312.0
2012,Minnesota,9394.81,10211.42,794349.0
2012,Mississippi,17095.92,8161.03,489569.0
2012,Missouri,10343.34,9074.09,888854.0
2012,Montana,10331.29,10313.59,141438.0
2012,Nebraska,9374.98,10833.6,296639.0
2012,Nevada,12264.91,8223.14,428526.0
2012,New Hampshire,8170.2,13641.22,189374.0
2012,New Jersey,10129.3,16620.8,1300792.0
2012,New Mexico,12595.47,8898.88,328690.0
2012,New York,13692.7,19504.06,2640611.0
2012,North Carolina,12169.73,8200.34,1462172.0
2012,North Dakota,8941.62,11205.89,94308.0
2012,Ohio,11087.13,10247.32,1630865.0
2012,Oklahoma,10401.45,7451.21,664200.0
2012,Oregon,10342.49,8912.57,566398.0
2012,Pennsylvania,10088.81,11902.31,1642377.0
2012,Rhode Island,10651.22,14005.14,137400.0
2012,South Carolina,12891.13,9130.71,698829.0
2012,South Dakota,8862.5,8385.78,125663.0
2012,Tennessee,11645.19,8291.32,998590.0
2012,Texas,13462.53,8179.53,4840758.0
2012,Utah,7818.62,6193.18,519927.0
2012,Vermont,9137.27,14119.56,86110.0
2012,Virginia,10703.54,10654.48,1257332.0
2012,Washington,9577.29,9449.51,1044856.0
2012,West Virginia,8619.6,11294.2,282088.0
2012,Wisconsin,10247.03,11020.81,860664.0
2012,Wyoming,7682.38,15896.98,89994.0
2011,Alabama,13169.41,8799.78,736350.0
2011,Alaska,,,
2011,Arizona,10822.89,7534.0,945000.0
2011,Arkansas,12529.97,9157.55,473217.0
2011,California,13233.09,8617.32,6006171.0
2011,Colorado,9711.0,8644.55,834832.0
2011,Connecticut,9524.76,15473.95,530132.0
2011,Delaware,10913.38,12539.8,112675.0
2011,District of Columbia,21903.33,18475.0,44199.0
2011,Florida,11169.61,8886.52,2636404.0
2011,Georgia,13185.46,9202.49,1666039.0
2011,Hawaii,,,
2011,Idaho,8418.16,6801.74,264395.0
2011,Illinois,11544.32,11397.13,2060795.0
2011,Indiana,10107.93,9223.03,1023052.0
2011,Iowa,8829.25,9209.41,493493.0
2011,Kansas,9252.05,9476.77,477626.0
2011,Kentucky,9602.75,9308.94,672958.0
2011,Louisiana,13311.59,10638.96,651863.0
2011,Maine,8488.68,12620.35,140052.0
2011,Maryland,11554.43,13871.32,851971.0
2011,Massachusetts,9342.48,13758.83,896029.0
2011,Michigan,11833.62,9861.98,1455966.0
2011,Minnesota,9198.69,10120.58,794218.0
2011,Mississippi,16087.04,7924.4,489485.0
2011,Missouri,9936.36,9039.99,892048.0
2011,Montana,9954.09,10491.93,140751.0
2011,Nebraska,9154.25,10359.78,293701.0
2011,Nevada,11561.08,8526.95,429610.0
2011,New Hampshire,7061.4,13276.27,186777.0
2011,New Jersey,9739.52,15078.3,1397400.0
2011,New Mexico,12282.81,9070.15,331373.0
2011,New York,13252.67,19044.64,2677412.0
2011,North Carolina,11778.45,8312.41,1448117.0
2011,North Dakota,8591.84,10929.61,93042.0
2011,Ohio,10836.81,10361.37,1655534.0
2011,Oklahoma,10036.53,7564.42,658163.0
2011,Oregon,10111.41,9060.36,559631.0
